Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Comment,Comment,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
179727372,Allow the player to view their remaining lives,"front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,2,accepted,"Sep 27, 2021","Oct 16, 2021",,haoyi_zhu,"As a player, I want to know how many chances(try or attempt) do I have before the game over, so there will be a prompt panel on the game interface, how many chances I have left to answer questions wrong before the game is over.",https://www.pivotaltracker.com/story/show/179727372,haoyi_zhu,,,"Given the counter count attempts, when the user selected the wrong answer, then the counter will show the change of attempts, it will delete one attempt chance. (haoyi_zhu - Oct 7, 2021)","Given a floating panel is available, when the user hovered the counter button, then the counter panel will float up at the front of the question page. (haoyi_zhu - Oct 7, 2021)",,A counter to count attempt times(HZ) -0.5h,completed,A floating panel to show the counter (HZ)-0.5h,completed,"Counter count to zero, needs to return game over page(HZ)-0.5h",completed,"Game over page needs include the score, and start new game button(HZ) -0.5h",completed,,,,,,,,,,
179726796,Allow players to know the remaining time of the questions,"front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,2,accepted,"Sep 27, 2021","Oct 16, 2021",,Kun Mo,"As a player, I want to have a timer for each question, so that I can know how much time is left to answer this question.",https://www.pivotaltracker.com/story/show/179726796,weiye_xu,,,"Given the timer UI is available, when the user go to the gaming page and start playing game, then the time UI should start count down and show how much time the player left in this question. (Kun Mo - Oct 7, 2021)","Given the animation of UI is available, when the timer UI start to count down or restart in the next page, then the animation of UI should play correctly in each second. (Kun Mo - Oct 7, 2021)",,Create a timer UI(WX) - 1 hr,completed,Put the timer UI in the right place of the gaming page(WX) - 0.5 hr,completed,Using program to control when the timer start and restart(WX) - 2 hr,completed,Set up a count down logic(WX) - 2 hr,completed,Fix all edge cases of implementation and integrate with score (GN) - 2 hr,completed,,,,,,,,
179875840,No duplicated questions in each game play,"database, front end, gameplay elements, ui",1,"Oct 11, 2021","Oct 17, 2021",feature,2,accepted,"Oct 9, 2021","Oct 16, 2021",,Kun Mo,"As a trivial game, I want the questions will be not repeated in the game play, so that the players can play more questions and the game would be more fair.",https://www.pivotaltracker.com/story/show/179875840,Kun Mo,,,"Given different questions in each game is available, when the players click an option of questions, then the game system will show the new questions next. (Kun Mo - Oct 12, 2021)","Given no repeated questions in each game is available, when the players start the game, then the game systems will pull the questions from the csv in selected category only for once. (Kun Mo - Oct 12, 2021)",,Write the logical programs to control the pulling  each question once per game(KM)  - 2 hr,completed,Test and make sure no repeated questions in each game play(KM)- 1.5 hr,completed,"When all questions run out, continue playing with all questions again (GM) - 1 hr",completed,,,,,,,,,,,,
179963401,add player score from game to leaderboard form,leaderboard,2,"Oct 18, 2021","Oct 24, 2021",chore,,accepted,"Oct 16, 2021","Oct 23, 2021",,dmakover,once the game is over add the score from the game onto the form to allow user to post onto the leaderboard table,https://www.pivotaltracker.com/story/show/179963401,gunnar2,dmakover,,,,,,,,,,,,,,,,,,,,,,
179727512,Display Gameplay Element: Lifelines,"front end, gameplay elements, ui",2,"Oct 18, 2021","Oct 24, 2021",feature,2,accepted,"Sep 27, 2021","Oct 23, 2021",,gunnar2,As a player during gameplay I want to be able to use lifelines to increase my chances of getting questions I do not know correct. [For the scope of this feature we are only implementing the 50/50 lifeline],https://www.pivotaltracker.com/story/show/179727512,heli kolambekar,haoyi_zhu,abelwu,"Given the game is currently being played and the user has at least 1 lifeline left when the user clicks the lifeline button then two of the wrong answers will be greyed/crossed out.  (gunnar2 - Oct 7, 2021)","Given the user has activated the lifeline for a given question when the user clicks on one of the greyed/crossed out incorrect answers then it will not be taken as a submission and the question will continue. (gunnar2 - Oct 7, 2021)",,Complete the baseline trivia game [Effort not considered within the scope of this task - this is a pre-requisite],completed,"Create the logic to remove two of the incorrect answers from a question up to 1 time during a single game session, but only once on a given question.(HK) - 1.5 hr",completed,"Create the interface button to activate this lifeline, as well as the front end logic.(HK) - 1hr",completed,"Disable the logic which permits the removed answers to be pressed, and the lifeline itself to be pressed, after the lilfeline is activated - 0.5 hr",completed,Create a visual modification which demonstrates that the previously mentioned standard game elements are disabled (HK)- 1 hr,completed,,,,,,,,
179875860,Allow user to see the correct answer  after the user clicks on an option or the timer runs out,"database, front end, gameplay elements, ui",2,"Oct 18, 2021","Oct 24, 2021",feature,1,accepted,"Oct 9, 2021","Oct 23, 2021",,heli kolambekar,"As a user, I want to see the correct answers of questions, so that I can know where I go wrong and learn new knowledge.",https://www.pivotaltracker.com/story/show/179875860,haoyi_zhu,dmakover,,"Given answers for each questions is available, when the page shows the questions and options, then the system should already hold the answers. (Kun Mo - Oct 12, 2021)","Given the color or style to show answers is available, when the players click any option of the question, then the game should use color or style to show the right answers (Kun Mo - Oct 12, 2021)",,Determine the answers for the questions in csv dataset(HZ) - 1 hr,completed,Write logical codes to show the answers when clicks options(HZ) - 1 hr,completed,Write codes to display color or styles for the right answers (HZ)- 2 hr,completed,Test and make sure the system can show right answers correctly - 1hr,completed,delay the apearence of the leaderboard post score form after the thrid life (DM) -0.5hr,completed,,,,,,,,
179875845,posting score to leaderboard,"backend, front end, leaderboard, ui",2,"Oct 18, 2021","Oct 24, 2021",feature,2,accepted,"Oct 9, 2021","Oct 23, 2021",,dmakover,"As a user, the game will end after getting three questions wrong, and the users username and score will be posted to the leaderboard, so that the leaderboard can have the information of score and the username of users.",https://www.pivotaltracker.com/story/show/179875845,dmakover,gunnar2,,"given the user getting three questions wrong, the game will end and a alert box will apear with a field to input the user's username (dmakover - Oct 9, 2021)","given the user inputing thier username and clicking submit their score will be saved to the leaderboard table and the user will be redirected to the leaderboard page (dmakover - Oct 9, 2021)",,create leaderboard table in DB (DM) -0.5hr,completed,write game logic for alert to apear once three questions are wrong (HZ) -1hr,completed,create a input box for the user to input their username(DM)-1 hr,completed,implement ui for leaderboard page(DM) - 1hr,completed,,,,,,,,,,
179913474,Have a pop up when game play ends,gameplay elements,2,"Oct 18, 2021","Oct 24, 2021",feature,0,accepted,"Oct 12, 2021","Oct 23, 2021",,Kun Mo,,https://www.pivotaltracker.com/story/show/179913474,dmakover,,,,,,,,,,,,,,,,,,,,,,,
180140429,Code Refactor: Front End Code,"front end, refactors",3,"Oct 25, 2021","Nov 7, 2021",chore,,accepted,"Oct 30, 2021","Nov 1, 2021",,dmakover,,https://www.pivotaltracker.com/story/show/180140429,gunnar2,,,,,,refactor and clean up all front end game code,completed,,,,,,,,,,,,,,,,
180058162,Code Refactor: Move Game Variables to the backend,"backend, refactor, refactors",3,"Oct 25, 2021","Nov 7, 2021",chore,,accepted,"Oct 23, 2021","Nov 6, 2021",,dmakover,Move all game play variables to the backend,https://www.pivotaltracker.com/story/show/180058162,gunnar2,,,,,,create UserInGameData table  DB- (GN) -0.5hr,completed,Moving lives data to backend - (GN)-1.5hr,completed,Moving lifeline data to backend (GN)-1.5hr,completed,moving score data to backend(GN)- 1.5hr,completed,moving time data to backend(GN) -1.5hr,completed,,,,,,,,
179728071,Login Page - Users should be able to join the game with Player Name and Password,"database, security",3,"Oct 25, 2021","Nov 7, 2021",feature,3,accepted,"Sep 27, 2021","Nov 6, 2021",,weiye_xu,"As a user, I want to have a login page so that I can able to join the game through my user name and password safety.
",https://www.pivotaltracker.com/story/show/179728071,weiye_xu,,,"Given a login in button is available when the user clicks on the button, some enter fields will be popped up and displayed allow the user to enter their user name and password. (weiye_xu - Oct 8, 2021)","Given the enter fields are available, when the user fills the fields with their user name and password, and clicks the login button, then the page will lead login to their game profile, and allow them to click the play button in the game. (weiye_xu - Oct 8, 2021)",,"Create class, function, and basic UI in the project that is able to let the user enter their username and password. (WX) - 3.0h",completed,A Login button should be shown or clickable after the user enters their user name and password. (WX) -1.0h,completed,Create a class and function that is able to check the user's login information from the database (should deploy) (WX) -1.0h,completed,"After the Login button is clicked, there is a message for logging  should pop up (WX) -2.0h",completed,"If the login information has been authenticated, a message for logging successful message should pop up and it will enter the game dashboard automatically. (WX) -2.0h",completed,"If the login information does not correct, there is a error message for login in should be pop up (WX) -2.0h",completed,find and create a better design of UI for the login page (WX) -3.0h,completed,Verify and test whether it works. (WX) -  1.0h,completed,Integrate into the project and test it. (WX) -2.0h,completed
180058161,Code Refactor: Modular ,"backend, refactor, refactors",3,"Oct 25, 2021","Nov 7, 2021",chore,,accepted,"Oct 23, 2021","Nov 6, 2021",,dmakover,"Make code more modular to scale
serpate routes for users and gameplay",https://www.pivotaltracker.com/story/show/180058161,haoyi_zhu,dmakover,gunnar2,,,,Move all view URL logic to its own file -(HZ) 1hr,completed,Move all game url logic to its own file -(HZ)1hr,completed,Moving all leaderboard URL logic to own file (HZ) 1hr,completed,move all game logic to its own file (HZ) 1hr,completed,,,,,,,,,,
179831065,Have the main page for users to select options (features).,"front end, ui",3,"Oct 25, 2021","Nov 7, 2021",feature,2,accepted,"Oct 6, 2021","Nov 6, 2021",,Kun Mo,"As a user, I want to have a page contains interfaces of all main functions, so that I can easily choose the feature I want to go.",https://www.pivotaltracker.com/story/show/179831065,Kun Mo,,,"Given the page to show all the main features is available, when the user pass the login and though the security check, then our app will move to the main page and show all the functions we have in the game. (Kun Mo - Oct 7, 2021)","Given some jump buttons for each features is available, when the user clicks on different buttons, then will jump to the different feature's pages. The page should have five basic buttons such as ""player profile"", ""explore categories"", ""global leaderboards"", ""rewards"" and ""FAQ"". (Kun Mo - Oct 7, 2021)",,Design the UI for the main page (KM)- 2 hr,completed,Combine and place the UI in the right design page (KM)- 1 hr,completed,Make the UML diagram for the main page functions (KM)- 1 hr,completed,Write the html code of main page with javascript and css (KM)- 3 hr,completed,Write the logical code of main page functions with javascript (KM)- 3 hr,completed,Write and do tests for the main page functions (KM) - 2 hr,completed,Debug and prevent some incorrect operation in the main page - 2 hr,completed,,,,
180058178,In Game Lifeline : 50/50,"backend, front end, gameplay elements, ui",4,"Nov 8, 2021","Nov 14, 2021",feature,2,accepted,"Oct 23, 2021","Nov 10, 2021",,dmakover,As a user I should be able to select a in game lifeline whoch allows half of the options to dispapear and make the question easier to answer,https://www.pivotaltracker.com/story/show/180058178,haoyi_zhu,,,"While I am playing the game I should see a button for 50/50 lifeline displayed on screen (dmakover - Oct 23, 2021)","When I select the 50/50 lifeline button the button should be greyed out and unclickable. Half of the options for the questions should be greyed out and unclickable. The answer should never be greyed out  (dmakover - Oct 23, 2021)",,create UI button for lifeline (HZ) -0.5hr,completed,add game logic for lifeline(HZ)-1hr,completed,,,,,,,,,,,,,,
179726598,Allow player to Select Category,"application management, database, front end, ui",4,"Nov 8, 2021","Nov 14, 2021",feature,2,accepted,"Sep 27, 2021","Nov 11, 2021",,heli kolambekar,As a user I want to be able to select a trivia category in the play section so I can choose a trivia category from a list of categories,https://www.pivotaltracker.com/story/show/179726598,heli kolambekar,Kun Mo,gunnar2,"Given the user in on the 'Play' page , when the user clicks on a trivia category, the 'Play' button in enabled (heli kolambekar - Sep 27, 2021)","Given the user is on the 'Play page, when the user clicks the 'play' button without selecting trivia category, message is displayed to remind user to select trivia category (heli kolambekar - Sep 27, 2021)",,create an attractive UI displaying all categories (HK)- 2 hr,completed,"Create Logic to hand off the 'category' to the /game/settings route in the game.py file this could be done with an ajax post request, or something else.  (KM)(HK) - 2hr",completed,Game.py line37/38 Utilize 'category' to initialize the question ids relating to that category. (HK)(KM) - 2 hr,not completed,"Question.py line 43 ""When done questions reinitialize just the questions related to the category so the same logic utilized in game.py will need to be used here"" (HK)(KM)- 1hr",not completed,Logic relating to leaderboards on different categories also needs to be set up. (HK)(KM),not completed,,,,,,,,
179727490,Allow player to check best score(s) in player profile,"database, front end, player profile, ui",4,"Nov 8, 2021","Nov 14, 2021",feature,1,accepted,"Sep 27, 2021","Nov 12, 2021",,abelwu,"As a player, I want to see my best score(s) of my account in the player profile page, so that I can know my game performance. ",https://www.pivotaltracker.com/story/show/179727490,abelwu,haoyi_zhu,,"Given the player profile page is displayed, when I click on the ""View my best scores""button, then it will lead to a page where I can select to view either the overall best scores, or best scores of a certain category. (abelwu - Oct 5, 2021)",,,Create UserInfo page UI - (AW) 1hr,completed,"A ""View my best scores""button on profile page to see the score board(WR)-1hr",completed,A page for score viewing(AW)-1hr,completed,"A selection box to choose either all the category in general, or a specific category (AW)-1hr",completed,A 'View' button to fetch the top scores in the selected category-(AW)-1hr,not completed,Design the score board page(AW) 1hr,not completed,A 'Return to Profile Page' button to go back to the profile page(AW)-1hr,not completed,,,,
179727444,Allow player to edit and save Player Profile,"database, front end, player profile, project management, ui",4,"Nov 8, 2021","Nov 14, 2021",feature,2,accepted,"Sep 27, 2021","Nov 12, 2021",,abelwu,"As a player, I want to edit and save my personal profile, so that I can update my infomation as needed.",https://www.pivotaltracker.com/story/show/179727444,abelwu,haoyi_zhu,,"Given the player profile page is displayed, when I click on the ""Edit"" button, then it will lead to a editing page where the players can enter the new profile info, and click ""Save"" button to update the information in the database. (abelwu - Oct 5, 2021)",,,"When enter the player profile page, the page will automatically display the player's info in the database, eg: username, userid, etc.",not completed,An 'Edit' button lead to the info editing page,completed,"The editing page contains editable boxes for user info such as username, passwords etc.",not completed,A 'Save' button to allow the info entered by user to. be updated in the database,not completed,"A pop up window says ""SAVED!"" showing that the update data has been successfully saved, as well as a ""OK"" button to direct back to the player profile page. ",completed,,,,,,,,
180302759,Forgot password,"backend, email, front end",7,"Nov 29, 2021","Dec 5, 2021",feature,3,accepted,"Nov 13, 2021","Dec 4, 2021",,dmakover,"as a user, i should be able to receive an email with a link to reset my password if I forgot it.",https://www.pivotaltracker.com/story/show/180302759,Kun Mo,,,"given a user forgetting their password and clicking on the forget password button, thy will receive a n email with a link to log in (dmakover - Nov 13, 2021)","given the user clicking the link in the email, they will be logged in and sent to their player profile page (dmakover - Nov 13, 2021)",,"Create a new link ""forgot password"" in login page - 0.5 hr",completed,"Create a new page for entering email after user click ""forgot password"" - 1 hr",completed,Have changing password page for user to change password - 1 hr,completed,front end - add link for user to send email for forgot password -0.5hr,completed,have email link sent from gmail -2hr,completed,have back end route that changing password for a user via email - 2hr,completed,Doing manual testing and make sure do not have bugs - 2 hr,completed,,,,
179720445,Super user can Delete a leaderboard score,"database, front end, project management, superuser functions, ui",7,"Nov 29, 2021","Dec 5, 2021",feature,2,accepted,"Sep 27, 2021","Dec 4, 2021",,dmakover,"As a super user I want to be able to delete a score in the leaderboard so I can prevent players from cheating

This is under the assumption that all users are Super Users",https://www.pivotaltracker.com/story/show/179720445,haoyi_zhu,,,"Given the leaderboard bage being created, when a super user navigates to the page they will see all of the leader board records displayed. All records will dispaly a button for deleting the record. (dmakover - Sep 27, 2021)","Given the delete button being displayed on the leaderboard page, when the super user clicks the button the score in the leaderboard table will be deleted. (dmakover - Sep 27, 2021)",,create a leaderboard class(DM)-0.5hr,completed,create a leaderboard table in the database(DM)-0.5hr,completed,create leaderboard dashboard page ui (DM) -2hr,completed,Add logic to display leaderboard records on leaederboard page(DM)-1hr,completed,Add logic for deleting a leaderboard record(DM)-1hr,completed,,,,,,,,
180302599,Leaderboard score by category on Leaderboard page),"backend, front end, leaderboard",7,"Nov 29, 2021","Dec 5, 2021",feature,2,accepted,"Nov 13, 2021","Dec 4, 2021",,dmakover,As  a user I can see the leader board scores based on categories in the leaderboard page. *Bonus points if it filters by current game session *,https://www.pivotaltracker.com/story/show/180302599,weiye_xu,haoyi_zhu,,"given the user loging in and navigating to the leaderboard page, they will see a table for each category that has scores (dmakover - Nov 13, 2021)","given the user most last game played and navigating to the leaderboard page, they will see a table for each category that has scores with their previouse category on top

 (dmakover - Nov 13, 2021)","given the user not being logged in and navigating to the leader board page  they will see a table for each category that has scores in the order of all followed by alphabetical order (dmakover - Nov 13, 2021)",refactor leader board logic - (GN) -1hr,completed,add ui (Tables for each category) - (GN) -2hr,completed,,,,,,,,,,,,,,
180302699,Each player has it own game sesssion,backend,7,"Nov 29, 2021","Dec 5, 2021",feature,0,accepted,"Nov 13, 2021","Dec 4, 2021",,dmakover,"As a user, I do not have the ability to interfere with other user's game sessions.",https://www.pivotaltracker.com/story/show/180302699,dmakover,haoyi_zhu,,"given two users playing a game, one users actions will NOT effect  the other user's game. (dmakover - Nov 13, 2021)","Given two or more users on the ""category page"", when they finish the category selection and click ""Play"" button at the same time, the system can bring them to two or more different sessions. (Kun Mo - Dec 3, 2021)",,pass token between game session and user for not logged in user (DM)- 2 hr ,completed,assocaite player to game in database  (DM) - 2hr,completed,have game sessions for not logged in users deleted after game is over (DM)- 2hr,completed,,,,,,,,,,,,
180302727,Leaderboard score by category on player profile page,"backend, front end, player profile",7,"Nov 29, 2021","Dec 5, 2021",feature,1,accepted,"Nov 13, 2021","Dec 4, 2021",,dmakover,"As a user logged in, I should see my top scores grouped by categories in the player profle page",https://www.pivotaltracker.com/story/show/180302727,abelwu,haoyi_zhu,heli kolambekar,"Given a user loggin in and navigating to the player prifle page, they will see all of their top scores grouped by category (dmakover - Nov 13, 2021)",,,front end ui for player prifle page - 2hr,completed,back end logic for player prifle page - 1hr,completed,,,,,,,,,,,,,,
180450266,'All' Category isn't valid selection in current build,"",7,"Nov 29, 2021","Dec 5, 2021",chore,,accepted,"Nov 27, 2021","Dec 5, 2021",,gunnar2,,https://www.pivotaltracker.com/story/show/180450266,dmakover,,,,,,,,,,,,,,,,,,,,,,,
179713090,"Super User can Add, modify, and delete a Question","application management, database, front end, superuser functions, ui",7,"Nov 29, 2021","Dec 5, 2021",feature,2,accepted,"Sep 26, 2021","Dec 5, 2021",,dmakover,"As a Super User I want to be able to add a question in the application so other users can see it in the game.

This is under the assumption that every uers is a Super User",https://www.pivotaltracker.com/story/show/179713090,haoyi_zhu,dmakover,,"Given an add question page being available, when the user navigates to the page a form will be dispalyed to input category, question, answer, and 3 fake answers.  (dmakover - Sep 26, 2021)","Given the add question form being available on the add question page, when the user adds input to all feilds, the question along with the answer information provided will be added to the question table in the database. If the inputed information is valid the added question will appear in the game. If the added inputed information is not valid an error will appear. (dmakover - Sep 26, 2021)",,Create a Question Class (HZ) -0.5hr,completed,Create a User Class(HZ)-0.5hr,completed,Create a Login page UI(HZ)-1hr,completed,Ceate the add question UI Page (HZ) -2hr,completed,Create Question table in database(HZ)-0.5hr,completed,Add the logic to get the question/answer info from UI and add into the question table of the Data Base (HZ)-1hr,completed,Add the logic to delete the question from the question table in the database(HZ) - 2hr,completed,Write Unit Tests(HZ) -2hr,completed,,
180530743,password reset page - confirm password shows charcaters,"",8,"Dec 6, 2021","Dec 12, 2021",chore,,accepted,"Dec 4, 2021","Dec 6, 2021",,dmakover,,https://www.pivotaltracker.com/story/show/180530743,dmakover,,,,,,,,,,,,,,,,,,,,,,,
180302713,Feature Tests,"",8,"Dec 6, 2021","Dec 12, 2021",chore,,accepted,"Nov 13, 2021","Dec 8, 2021",,dmakover,"Feature tests need for all features:
",https://www.pivotaltracker.com/story/show/180302713,gunnar2,haoyi_zhu,,,,,,,,,,,,,,,,,,,,,,
